,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
275,Vila Franca do Campo,PT,37.72,-25.43,62.6,59,20,5.82,1603018750
276,Tura,IN,25.52,90.22,78.91,89,22,0.78,1603018750
277,Nantucket,US,41.28,-70.1,54.0,54,1,6.93,1603018750
278,Bolu Province,TR,40.67,31.58,71.02,45,79,6.29,1603018750
279,Izumo,JP,35.37,132.77,57.2,76,20,2.24,1603018751
280,Souillac,MU,-20.52,57.52,80.6,54,20,12.75,1603018751
281,Zhalantun,CN,48.0,122.72,39.45,63,16,5.26,1603018751
282,Milyutinskaya,RU,48.63,41.67,73.45,47,100,15.86,1603018751
283,Muros,ES,42.78,-9.06,64.99,72,75,5.82,1603018751
284,Beringovskiy,RU,63.05,179.32,35.83,81,100,5.5,1603018751
285,Dongsheng,CN,39.82,109.98,46.0,47,0,6.73,1603018751
286,Kahului,US,20.89,-156.47,78.8,69,1,5.82,1603018752
287,Hambantota,LK,6.12,81.12,93.2,52,20,16.11,1603018752
288,Geraldton,AU,-28.77,114.6,69.8,68,25,11.41,1603018752
289,Gamboula,CF,4.12,15.14,85.46,59,90,4.07,1603018752
290,Fairbanks,US,64.84,-147.72,21.0,48,84,2.13,1603018752
291,Vila,PT,42.03,-8.16,63.0,71,74,1.99,1603018752
292,Toora-Khem,RU,52.47,96.11,38.68,74,100,2.08,1603018752
293,Lompoc,US,34.64,-120.46,57.2,87,1,4.09,1603018502
294,Suleja,NG,9.18,7.18,84.2,66,75,8.05,1603018753
295,Lavrentiya,RU,65.58,-171.0,35.94,88,60,4.56,1603018753
296,Garh Maharaja,PK,30.83,71.91,97.56,9,0,7.07,1603018753
297,Lavras,BR,-21.25,-45.0,62.69,69,93,10.6,1603018753
298,Salalah,OM,17.02,54.09,93.2,26,2,12.75,1603018655
299,Baripāda,IN,21.93,86.72,86.77,71,100,3.51,1603018754
300,Necochea,AR,-38.55,-58.74,68.0,82,37,7.0,1603018754
301,Moengo,SR,5.62,-54.4,79.12,89,63,3.47,1603018754
302,Kabompo,ZM,-13.59,24.2,94.24,13,0,6.89,1603018754
303,Prykolotne,UA,50.16,37.35,58.03,54,0,15.97,1603018754
304,Zapolyarnyy,RU,69.42,30.81,26.6,100,20,5.82,1603018755
305,Tautira,PF,-17.73,-149.15,75.2,83,97,3.36,1603018755
306,Santa Marinella,IT,42.03,11.85,57.99,68,0,3.8,1603018755
307,Solnechnyy,RU,50.72,136.63,29.16,77,36,7.96,1603018755
308,Saint Anthony,US,45.02,-93.22,33.8,83,1,8.05,1603018755
309,Lafia,NG,8.48,8.52,86.9,63,67,4.74,1603018755
310,Namatanai,PG,-3.67,152.43,80.76,79,100,7.45,1603018756
311,Pevek,RU,69.7,170.31,24.91,94,29,17.45,1603018756
312,Bariloche,AR,-41.15,-71.31,41.0,75,40,21.92,1603018756
313,Tete,MZ,-16.16,33.59,91.4,29,0,8.05,1603018757
314,Millville,US,39.4,-75.04,48.0,93,1,4.88,1603018757
315,Ambon City,ID,-3.7,128.18,78.8,88,40,5.82,1603018757
316,Dongxing,CN,45.37,130.8,37.06,74,4,7.0,1603018757
317,Province of Mantua,IT,45.17,10.78,63.0,82,0,1.99,1603018757
318,Bilibino,RU,68.05,166.44,14.02,92,93,2.75,1603018763
319,Cambridge,CA,43.36,-80.31,51.01,57,75,11.41,1603018753
320,Rivers,CA,50.03,-100.24,24.8,68,90,16.11,1603018763
321,Russell,US,32.35,-85.2,53.6,81,40,6.13,1603018763
322,Tuatapere,NZ,-46.13,167.68,43.99,80,99,1.83,1603018763
323,Tubualá,PA,9.52,-79.03,77.0,94,40,6.93,1603018764
324,Lázaro Cárdenas,MX,17.96,-102.2,76.8,87,80,3.53,1603018764
325,Sangar,RU,63.92,127.47,15.94,96,99,9.22,1603018764
326,Miyako,JP,39.64,141.95,53.4,75,67,5.55,1603018764
327,Sturgis,US,41.8,-85.42,51.8,61,90,11.41,1603018764
328,Bud,US,39.45,-86.18,53.01,61,90,3.36,1603018764
329,Vao,NC,-22.67,167.48,71.28,78,17,16.71,1603018765
330,Aripuanã,BR,-9.17,-60.63,75.33,87,98,1.14,1603018765
331,São Gabriel da Cachoeira,BR,-0.13,-67.09,73.81,94,28,1.68,1603018765
332,Port Moresby,PG,-9.44,147.18,80.6,78,90,3.36,1603018765
333,Eureka,US,40.8,-124.16,48.2,100,1,3.36,1603018765
334,Safford,US,32.83,-109.71,59.0,22,1,4.7,1603018727
335,Varhaug,NO,58.61,5.65,45.0,70,95,7.0,1603018765
336,Yaan,NG,7.38,8.57,82.89,70,96,6.35,1603018766
337,Uyovu,TZ,-3.28,31.53,85.55,32,38,6.13,1603018766
338,Yumen,CN,40.28,97.2,48.54,39,0,9.48,1603018766
339,Port Augusta,AU,-32.5,137.77,57.2,71,0,18.34,1603018766
340,Elizabeth City,US,36.29,-76.25,62.01,87,1,6.93,1603018766
341,Capitán Bado,PY,-23.27,-55.53,70.41,67,72,14.47,1603018766
342,Yangi Marg`ilon,UZ,40.43,71.72,71.6,24,0,3.4,1603018767
343,Belaya Gora,RU,68.53,146.42,21.58,98,89,10.45,1603018767
344,Siocon,PH,7.71,122.14,79.09,86,100,6.26,1603018767
345,Nyurba,RU,63.28,118.33,16.41,93,0,2.24,1603018767
346,Buzdyak,RU,54.58,54.55,45.82,54,82,14.23,1603018767
347,Saint-Pierre,RE,-21.34,55.48,80.6,65,75,17.22,1603018767
348,Cap Malheureux,MU,-19.98,57.61,81.0,56,1,8.99,1603018768
349,Abu Dhabi,AE,24.47,54.37,95.0,32,0,11.41,1603018605
350,Aklavik,CA,68.22,-135.01,12.2,78,20,8.05,1603018768
351,Tikhvin,RU,59.65,33.53,36.0,79,100,4.54,1603018673
352,Găgeşti,RO,46.33,27.97,60.4,41,12,7.34,1603018768
353,Acapulco de Juárez,MX,16.86,-99.89,77.43,74,54,4.32,1603018768
354,Kumbo,CM,6.2,10.67,74.08,54,45,7.38,1603018768
355,Tazovsky,RU,67.47,78.7,19.27,96,99,17.07,1603018768
356,Linxia Chengguanzhen,CN,35.6,103.21,46.71,54,24,2.42,1603018769
357,Marsá Maţrūḩ,EG,31.35,27.25,86.0,42,0,5.82,1603018769
358,Lorengau,PG,-2.02,147.27,82.27,79,73,8.5,1603018769
359,Praia,CV,14.92,-23.51,84.2,74,75,9.17,1603018769
360,Bhadrāchalam,IN,17.67,80.88,85.93,83,96,1.07,1603018769
361,Cabra,ES,37.47,-4.44,77.0,26,24,1.01,1603018770
362,Zonguldak,TR,41.25,31.83,71.87,53,88,7.65,1603018770
363,Novaya Ladoga,RU,60.1,32.3,39.0,46,98,10.85,1603018775
364,Tsimmerbude,RU,54.67,20.13,48.99,87,75,11.18,1603018775
365,Huangnihe,CN,43.56,128.02,36.45,78,3,4.14,1603018775
366,Saint-Augustin,CA,51.23,-58.65,44.76,74,75,26.46,1603018775
367,Porto-Novo,BJ,6.5,2.6,82.4,78,40,6.93,1603018776
368,Magadan,RU,59.57,150.8,33.93,94,100,4.76,1603018776
369,Sabang,ID,5.89,95.32,84.0,73,100,21.09,1603018776
370,Krasnokamensk,RU,50.1,118.04,35.51,83,60,7.38,1603018776
371,Kuchera,IN,26.98,73.97,90.41,32,51,9.78,1603018777
372,San Luis de Palenque,CO,5.42,-71.73,72.91,90,73,1.9,1603018777
373,Bardsīr,IR,29.92,56.57,69.8,6,0,6.93,1603018777
374,Biltine,TD,14.53,20.92,99.1,9,6,8.37,1603018777
375,Kulhudhuffushi,MV,6.62,73.07,82.51,78,100,16.82,1603018777
376,Bay City,US,43.59,-83.89,54.0,48,75,14.99,1603018777
377,Ixtapa,MX,20.7,-105.2,81.0,87,60,3.49,1603018778
378,Evensk,RU,61.95,159.23,34.54,84,99,11.52,1603018778
379,Atbasar,KZ,51.8,68.33,44.46,51,0,8.23,1603018778
380,Nelson Bay,AU,-32.72,152.15,66.0,88,75,8.05,1603018778
381,São João da Barra,BR,-21.64,-41.05,73.4,78,68,6.93,1603018777
382,Guangyuan,CN,32.44,105.82,63.0,90,67,5.99,1603018778
383,Zhuanghe,CN,39.7,122.99,57.99,73,0,1.07,1603018779
384,Pouébo,NC,-20.4,164.57,71.01,76,60,9.78,1603018779
385,Genhe,CN,50.78,121.52,28.89,91,2,4.59,1603018779
386,Brae,GB,60.4,-1.35,44.6,65,100,2.24,1603018779
387,Fuzhou,CN,26.06,119.31,71.6,73,75,20.13,1603018780
388,Gambēla,ET,8.25,34.58,74.88,84,96,3.18,1603018780
389,Henties Bay,NA,-22.12,14.28,62.01,84,1,3.0,1603018780
390,Husavik,IS,66.04,-17.34,44.6,70,90,9.17,1603018628
391,Charcas,MX,23.13,-101.12,53.42,91,2,2.44,1603018780
392,Bilma,NE,18.69,12.92,98.76,8,0,2.77,1603018780
393,Gananoque,CA,44.33,-76.17,51.01,64,62,10.0,1603018781
394,Matara,LK,5.95,80.54,83.62,72,34,14.79,1603018781
395,Xiongyue,CN,40.18,122.12,57.54,43,0,5.55,1603018781
396,Krasnosel'kup,RU,65.7,82.47,24.15,97,74,21.0,1603018781
397,Veinticinco de Mayo,AR,-35.43,-60.17,73.0,81,0,5.01,1603018781
398,Sechura,PE,-5.56,-80.82,63.77,81,40,8.66,1603018781
399,Tommot,RU,58.96,126.29,14.67,93,84,2.53,1603018782
400,Venado Tuerto,AR,-33.75,-61.97,75.99,60,0,11.01,1603018782
401,Clacton-on-Sea,GB,51.79,1.16,57.99,83,70,6.58,1603018782
402,Hwange,ZW,-18.37,26.5,98.24,9,0,8.32,1603018782
403,Baruun-Urt,MN,46.68,113.28,42.6,57,49,11.41,1603018782
404,Sørland,NO,67.67,12.69,39.2,66,75,14.99,1603018782
405,North Canton,US,40.88,-81.4,51.8,46,90,16.11,1603018762
406,Dickinson,US,29.46,-95.05,73.99,88,1,3.36,1603018783
407,Dumbéa,NC,-22.15,166.45,68.0,72,2,1.12,1603018788
408,Kabwe,ZM,-14.45,28.45,89.6,13,12,9.35,1603018788
409,Mayo,US,38.89,-76.51,46.4,100,1,6.02,1603018741
410,Ulagan,RU,50.63,87.96,40.87,65,100,3.0,1603018788
411,Severomuysk,RU,56.15,113.43,22.17,99,94,2.1,1603018788
412,Alyangula,AU,-13.85,136.42,82.4,69,40,5.82,1603018789
413,Nizhnyaya Poyma,RU,56.16,97.19,50.0,64,100,8.23,1603018789
414,Sambava,MG,-14.27,50.17,80.51,52,0,14.16,1603018789
415,Bereda,ES,43.27,-7.54,69.01,92,46,1.99,1603018789
416,Urusha,RU,54.05,122.9,26.8,87,100,1.34,1603018789
417,Moundou,TD,8.57,16.08,93.13,49,17,2.13,1603018789
418,Chifeng,CN,42.27,118.96,51.62,43,22,5.82,1603018789
419,Atambua,ID,-9.11,124.89,77.18,77,50,1.3,1603018789
420,Tevriz,RU,57.51,72.4,35.13,81,98,12.24,1603018790
421,Wattegama,LK,6.8,81.48,93.2,52,20,16.11,1603018790
422,Kloulklubed,PW,7.04,134.26,80.6,83,90,5.82,1603018790
423,Hithadhoo,MV,-0.6,73.08,83.46,78,86,20.27,1603018790
424,Thinadhoo,MV,0.53,72.93,83.48,78,64,20.58,1603018790
425,Joshīmath,IN,30.57,79.57,67.59,26,16,5.77,1603018791
426,Port-Gentil,GA,-0.72,8.78,86.0,66,75,11.41,1603018791
427,Ancud,CL,-41.87,-73.82,46.99,87,75,11.41,1603018791
428,Anadyr,RU,64.75,177.48,21.2,85,71,2.24,1603018791
429,Lokosovo,RU,61.13,74.82,29.5,92,100,16.11,1603018791
430,Sembakung,ID,3.82,117.25,76.78,94,96,3.06,1603018792
431,Tambovka,RU,50.1,128.05,33.8,37,20,4.47,1603018792
432,Dingle,PH,11.0,122.67,78.62,88,85,6.44,1603018792
433,Smithers,CA,54.78,-127.17,32.0,94,90,8.05,1603018744
434,Golden,US,39.76,-105.22,42.01,86,90,3.36,1603018573
435,La Peca,PE,-5.61,-78.44,65.64,82,56,2.24,1603018793
436,Bahía Honda,CU,22.9,-83.16,76.66,86,0,6.93,1603018793
437,Koumac,NC,-20.57,164.28,71.51,76,49,4.05,1603018793
438,Laguna,US,38.42,-121.42,61.0,51,1,2.39,1603018793
439,Kotka,FI,60.47,26.95,41.0,93,90,4.7,1603018793
440,Marawi,PH,8.0,124.29,80.01,88,100,1.99,1603018793
441,Ayagoz,KZ,47.97,80.44,58.19,34,92,9.71,1603018794
442,Talnakh,RU,69.49,88.4,24.8,79,75,17.9,1603018794
443,Naushahro Firoz,PK,26.84,68.12,101.57,8,2,5.48,1603018794
444,Nikolayevsk-on-Amur,RU,53.14,140.73,30.04,96,88,23.76,1603018794
445,Constitución,CL,-35.33,-72.42,51.42,83,0,5.93,1603018794
446,Vega de Alatorre,MX,20.03,-96.63,73.11,78,46,5.91,1603018795
447,Severnyy,RU,50.68,36.55,51.8,66,75,13.42,1603018795
448,Gijang,KR,35.24,129.21,64.4,52,58,5.82,1603018678
449,Buin,CL,-33.73,-70.75,64.0,93,0,2.24,1603018795
450,Smidovich,RU,48.6,133.82,33.66,77,8,9.51,1603018795
451,Novo Oriente,BR,-5.53,-40.77,80.11,59,72,6.93,1603018795
452,Huarmey,PE,-10.07,-78.15,62.01,87,88,5.37,1603018795
453,Fuerte Olimpo,PY,-21.04,-57.87,75.33,83,65,2.33,1603018795
454,Pangody,RU,65.85,74.49,25.39,94,99,18.25,1603018801
455,Puri,IN,19.8,85.85,78.8,100,90,4.7,1603018801
456,Victoria Point,AU,-27.58,153.3,72.0,84,13,5.99,1603018801
457,Rocha,UY,-34.48,-54.33,65.05,83,65,8.39,1603018802
458,Verkhnyaya Inta,RU,65.98,60.31,30.51,95,100,16.37,1603018803
459,Mogadishu,SO,2.04,45.34,86.0,62,75,16.11,1603018803
460,Inverell,AU,-29.78,151.12,59.0,97,100,1.01,1603018804
461,Antofagasta,CL,-23.65,-70.4,57.2,87,90,2.24,1603018769
462,Kroya,ID,-7.63,109.25,66.99,81,56,9.33,1603018806
463,Isangel,VU,-19.55,169.27,70.84,70,0,7.4,1603018806
464,Zverinogolovskoye,RU,54.46,64.85,42.22,61,18,9.17,1603018807
465,Zhongshu,CN,24.52,103.77,54.12,88,99,5.01,1603018808
466,Ballina,AU,-28.87,153.57,69.8,83,90,6.93,1603018808
467,Inhambane,MZ,-23.86,35.38,82.4,51,40,13.87,1603018809
468,Departamento de Maldonado,UY,-34.67,-54.92,68.0,93,20,9.17,1603018809
469,Bentiu,SS,9.23,29.83,90.01,50,100,5.03,1603018809
470,Murwillumbah,AU,-28.32,153.4,72.0,78,83,13.87,1603018809
471,Gorontalo,ID,0.54,123.06,76.1,87,100,2.84,1603018810
472,Ostrovnoy,RU,68.05,39.51,36.59,79,38,11.65,1603018810
473,Zhangye,CN,38.93,100.45,52.16,34,0,4.56,1603018810
474,San Borja,BO,-14.82,-66.85,76.17,69,1,3.15,1603018811
475,Gimli,CA,50.63,-96.99,28.99,98,59,5.01,1603018811
476,Medvode,SI,46.13,14.43,57.0,81,40,2.24,1603018811
477,Colac,AU,-38.33,143.58,45.0,96,62,5.08,1603018812
478,Kissidougou,GN,9.18,-10.1,85.48,66,0,0.76,1603018812
479,Luena,AO,-11.78,19.92,82.4,61,40,6.93,1603018813
480,Cayenne,GF,4.93,-52.33,77.0,100,20,9.48,1603018813
481,Marzuq,YE,14.4,46.47,83.91,14,0,11.07,1603018813
482,Natal,BR,-5.79,-35.21,77.0,83,40,8.05,1603018814
483,Hurghada,EG,27.26,33.81,87.8,43,0,13.87,1603018814
484,Morrinhos,BR,-17.73,-49.1,75.06,72,45,11.25,1603018814
485,Nazas,MX,25.23,-104.13,63.43,47,1,2.1,1603018814
486,Caravelas,BR,-17.71,-39.25,75.6,72,86,8.37,1603018815
487,Yibin,CN,28.77,104.62,59.22,85,100,2.3,1603018816
488,Menongue,AO,-14.66,17.69,94.96,16,1,9.86,1603018816
489,Port Hope,US,43.94,-82.71,52.0,48,90,16.11,1603018816
490,Breaza,RO,45.18,25.67,57.99,55,78,1.01,1603018816
491,Luau,AO,-10.71,22.22,88.93,33,0,6.44,1603018816
492,Merrill,US,45.18,-89.68,35.6,97,40,4.7,1603018817
493,Callaguip,PH,18.07,120.49,86.0,70,40,9.17,1603018817
494,Dubrovka,RU,53.69,33.51,39.2,86,75,13.42,1603018818
495,Prince Rupert,CA,54.32,-130.32,41.0,100,90,4.7,1603018818
496,Mariehamn,AX,60.1,19.93,41.0,76,75,14.99,1603018819
497,Sinnamary,GF,5.38,-52.95,82.36,77,40,10.4,1603018819
498,Wanlaweyn,SO,2.62,44.89,90.59,43,60,14.61,1603018819
499,Cabedelo,BR,-6.98,-34.83,78.8,78,20,8.05,1603018825
500,Yenagoa,NG,4.92,6.26,88.18,60,85,4.21,1603018825
501,San Juan,AR,-31.54,-68.54,78.12,30,0,2.17,1603018825
502,Namwala,ZM,-15.75,26.44,94.68,10,2,8.75,1603018826
503,Juneau,US,58.3,-134.42,35.01,86,20,6.08,1603018792
504,Vestmannaeyjar,IS,63.44,-20.27,44.6,87,90,20.8,1603018826
505,Ténenkou,ML,14.46,-4.92,101.77,14,1,14.72,1603018827
506,Shwebo,MM,22.57,95.7,83.77,70,74,3.47,1603018827
507,Campo Formoso,BR,-10.51,-40.32,70.25,75,91,11.25,1603018827
508,Mamlyutka,KZ,54.94,68.54,42.8,45,0,13.42,1603018828
509,Sidi Ali,DZ,36.1,0.42,69.62,39,15,6.64,1603018828
510,Port Said,EG,31.26,32.28,82.4,58,40,6.93,1603018828
511,Mananjary,MG,-21.22,48.33,74.14,84,83,9.13,1603018828
512,Kaffrine,SN,14.11,-15.55,87.8,74,75,6.93,1603018829
513,Rome,US,43.21,-75.46,37.0,74,1,5.82,1603018565
514,Cabo San Lucas,MX,22.89,-109.91,78.01,89,6,7.4,1603018724
515,San Pedro de Cartago,CO,1.55,-77.12,54.09,89,88,3.96,1603018829
516,Anloga,GH,5.79,0.9,87.8,66,40,6.93,1603018829
517,Simpang,ID,-1.27,104.08,78.8,87,97,3.15,1603018829
518,Razdolinsk,RU,58.42,94.67,36.61,94,100,14.18,1603018829
519,Hopelchén,MX,19.77,-89.85,70.95,98,5,1.34,1603018830
520,Manama,BH,26.22,50.58,89.6,62,5,13.87,1603018579
521,Rameswaram,IN,9.28,79.3,83.48,73,99,8.57,1603018830
522,Grand Gaube,MU,-20.01,57.66,81.0,56,0,8.99,1603018830
523,Makakilo City,US,21.35,-158.09,78.8,83,40,4.79,1603018830
524,Sítio Novo do Tocantins,BR,-5.52,-47.46,81.45,65,56,6.76,1603018831
525,Orda,RU,57.2,56.91,37.27,79,100,10.92,1603018831
526,Alamogordo,US,32.9,-105.96,57.99,32,1,1.92,1603018624
527,Puerto Ayacucho,VE,5.66,-67.62,74.07,93,99,3.53,1603018831
528,Orichi,RU,58.4,49.06,32.4,98,100,13.51,1603018831
529,Rāvar,IR,31.27,56.81,75.34,12,0,9.42,1603018832
530,Brownwood,US,31.71,-98.99,64.4,93,75,6.93,1603018832
531,Alice Springs,AU,-23.7,133.88,80.6,51,27,8.05,1603018832
532,Novoagansk,RU,61.94,76.66,27.91,92,100,20.71,1603018833
533,Ust'-Omchug,RU,61.15,149.63,20.32,92,94,1.61,1603018833
534,Mahon,ES,39.89,4.27,66.2,55,20,3.36,1603018833
535,Bull Savanna,JM,17.89,-77.59,76.3,81,63,3.96,1603018833
536,Ust-Kuyga,RU,70.02,135.6,22.03,97,100,5.57,1603018833
537,Anchorage,US,61.22,-149.9,35.01,59,90,6.93,1603018809
538,Tiarei,PF,-17.53,-149.33,75.2,83,91,3.36,1603018833
539,Saint-Joseph,RE,-21.37,55.62,80.6,65,75,17.22,1603018834
540,Schiffdorf,DE,53.53,8.65,53.6,62,75,12.75,1603018834
541,Marystown,CA,47.17,-55.15,55.99,100,97,13.96,1603018834
542,Katsuura,JP,35.13,140.3,62.6,67,20,9.17,1603018834
543,Yuli,NG,9.7,10.27,94.89,40,1,3.2,1603018835
544,Haapiti,PF,-17.57,-149.87,75.2,83,82,3.36,1603018835
545,Sananduva,BR,-27.95,-51.81,60.37,70,67,8.25,1603018835
546,Imeni Poliny Osipenko,RU,52.42,136.49,29.5,79,99,10.27,1603018836
547,Riyadh,SA,24.69,46.72,87.8,14,0,9.17,1603018800
